ATP	Glucose	ADP	Glc6P	Fru6P	Fru1,6BP	Fru2,6BP	DHAP	Gly3P	1,3BPG	NAD	NADH	Pi	3PG	2PG	PEP	PYR	LACin	PHP	SER	PSER	Ery4P	6PG	CIT	GLY	Glycogen_n+1	AMP	Xy5P	Glc1P	UDPG	UTP	PPi	UDP	Glycogen_n	GlucoseOut	LACout	SerineOut	GlycineOut	
0.0800985	19.7255	0.604473	0.591671	0.314209	4.8219e-06	0.0043	0.000461106	2.07317e-05	2.10578e-07	1.37801	0.0119865	4	0.00160696	0.000228282	0.000254643	0.0006386	0.000340663	0.000177804	3.78941e-05	3.12516e-05	0.016	0.39	1.7	0.000143491	241.22	10.3154	0.016	10.9085	1.20775e-08	5.84428e-10	1.10546e-06	0.273	28.7802	20	1e-05	1e-05	1e-05	
0.092051	17.2599	0.657211	0.851245	0.316549	9.14006e-06	0.0043	0.00072814	2.44094e-05	2.68235e-07	1.38584	0.00415578	4	0.00248562	0.000395528	0.00106755	0.000947877	0.000701588	0.000572267	0.000170215	8.08775e-05	0.016	0.39	1.7	0.000165927	244.805	10.2507	0.016	15.0435	1.32317e-08	7.29531e-10	2.58991e-07	0.273	25.1951	20	1e-05	1e-05	1e-05	
0.811444	14.5994	1.68304	2.62083	1.05428	2.17267e-05	0.0043	0.00153878	5.61462e-05	3.58122e-06	1.38709	0.00291188	4	0.0165204	0.00284466	0.0160293	3.62537e-08	1.02645e-05	0.000852386	0.000435591	0.000237478	0.016	0.39	1.7	0.0005951	257.444	8.50552	0.016	47.3828	1.36732e-07	1.23778e-08	4.09398e-06	0.273	12.556	20	1e-05	1e-05	1e-05	
1.46298	12.1438	2.09559	2.65243	1.21868	4.59197e-05	0.0043	0.00127372	3.86395e-05	2.59518e-06	1.3861	0.0039016	4	0.014746	0.00249841	0.0106877	1.09884e-10	1.02908e-05	0.00133405	0.000416949	0.000240821	0.016	0.39	1.7	0.000294523	264.907	7.44143	0.016	48.4745	3.43083e-07	2.94884e-08	7.17341e-06	0.273	5.09288	20	1e-05	1e-05	1e-05	
0.112286	18.3714	0.688722	0.683125	0.285623	1.05994e-05	0.0043	0.00069212	2.28331e-05	1.53677e-07	1.38857	0.0014344	4	0.00283015	0.000456678	0.00125096	0.00124231	0.000679319	0.000508875	7.46017e-05	6.04101e-05	0.016	0.39	1.7	0.000388004	250.856	10.199	0.016	13.0665	7.05474e-09	6.24775e-10	3.00612e-07	0.273	19.1445	20	1e-05	1e-05	1e-05	
0.0869996	18.4671	0.633571	0.698245	0.301331	4.90237e-06	0.0043	0.000312705	1.31107e-05	9.158e-08	1.38599	0.00400665	4	0.00137837	0.000258608	0.000368986	0.000735431	0.000270718	0.0001868	4.99247e-05	3.42869e-05	0.016	0.39	1.7	6.71805e-05	231.674	10.2794	0.016	12.1937	1.34037e-08	1.12363e-09	2.12284e-06	0.273	38.3263	20	1e-05	1e-05	1e-05	
0.0239464	20.204	0.335798	0.233358	0.103187	1.11226e-06	0.0043	0.000150764	5.99192e-06	9.72096e-09	1.38684	0.00315936	4	0.000257456	4.14639e-05	2.02979e-05	0.000293784	0.000175889	0.000108113	9.41279e-06	1.15872e-05	0.016	0.39	1.7	4.9938e-05	176.782	10.6403	0.016	4.48518	1.1853e-09	1.07628e-10	1.08796e-07	0.273	93.2177	20	1e-05	1e-05	1e-05	
0.701981	15.0285	1.65808	1.78193	0.677483	3.05617e-05	0.0043	0.00216501	8.29224e-05	2.31596e-06	1.38661	0.00339102	4	0.0140312	0.00256534	0.0140092	3.2667e-08	9.18469e-06	0.00139223	0.000293892	0.000232185	0.016	0.39	1.7	0.000326836	255.592	8.63994	0.016	31.6698	5.76326e-08	4.16411e-09	1.20601e-06	0.273	14.4084	20	1e-05	1e-05	1e-05	
0.121537	17.2936	0.752419	0.525307	0.196881	1.05153e-05	0.0043	0.0010604	3.15264e-05	2.40447e-07	1.38522	0.00477998	4	0.00297641	0.000468442	0.00106457	0.000606718	0.00120193	0.000475394	3.52783e-05	9.47828e-05	0.016	0.39	1.7	0.000186887	226.817	10.126	0.016	9.48458	4.78298e-09	3.81152e-10	1.99576e-07	0.273	43.1827	20	1e-05	1e-05	1e-05	
0.13583	17.8463	0.776716	1.76607	0.733652	4.30803e-06	0.0043	0.000941585	3.67632e-05	1.28527e-07	1.38311	0.00689279	4	0.00208041	0.000325734	0.00092444	0.00149718	0.00104278	0.000243271	0.000180187	4.32218e-05	0.016	0.39	1.7	0.000111905	257.146	10.0875	0.016	30.4888	3.21186e-08	1.13272e-09	6.03286e-07	0.273	12.8542	20	1e-05	1e-05	1e-05	
1.10829	14.8181	1.981	2.53366	1.0031	2.45796e-05	0.0043	0.00199051	7.76597e-05	5.5516e-06	1.38159	0.00840527	4	0.0220597	0.00327365	0.019871	4.55011e-10	1.01127e-05	0.00153904	0.000307495	0.000231581	0.016	0.39	1.7	0.00075529	256.51	7.91071	0.016	45.9722	2.43163e-07	2.29529e-08	2.54195e-05	0.273	13.49	20	1e-05	1e-05	1e-05	
0.152471	18.8474	0.803116	0.837938	0.328299	1.13823e-05	0.0043	0.000896201	2.89676e-05	3.39693e-07	1.38773	0.0022694	4	0.00257537	0.000336971	0.000703406	0.00206763	0.00106566	0.000523433	4.56943e-05	5.02141e-05	0.016	0.39	1.7	0.000514249	217.772	10.0444	0.016	15.0691	1.17441e-08	8.85257e-10	7.08961e-08	0.273	52.2278	20	1e-05	1e-05	1e-05	
0.0650399	20.2277	0.55132	0.647139	0.28599	2.629e-06	0.0043	0.000177592	7.08471e-06	4.39229e-08	1.38679	0.00321233	4	0.000711777	0.000116691	0.000134583	0.000488835	0.000347292	0.000145748	2.3194e-05	4.29699e-05	0.016	0.39	1.7	7.25257e-05	220.253	10.3836	0.016	11.503	1.62535e-08	1.03857e-09	1.69917e-07	0.273	49.7467	20	1e-05	1e-05	1e-05	
1.20413	9.50684	1.94716	1.91187	0.759232	4.56245e-05	0.0043	0.00331641	0.000115218	1.73798e-06	1.38547	0.00452964	4	0.0122995	0.0021459	0.0114317	1.15812e-09	9.18499e-06	0.0011794	0.000414312	0.000268731	0.016	0.39	1.7	0.000230677	255.424	7.84871	0.016	34.6201	9.45452e-08	8.91397e-09	1.19832e-05	0.273	14.5756	20	1e-05	1e-05	1e-05	
0.0140511	17.8878	0.259464	0.0962385	0.0443476	8.53212e-07	0.0043	0.00017249	6.74224e-06	1.83074e-08	1.38302	0.00698407	4	0.000307864	4.4153e-05	3.23574e-05	0.000101141	0.000125312	6.29035e-05	1.96516e-05	7.65272e-06	0.016	0.39	1.7	4.83794e-05	117.805	10.7265	0.016	1.61892	1.27321e-09	1.43488e-10	3.60107e-08	0.273	152.195	20	1e-05	1e-05	1e-05	
0.103143	19.7736	0.716646	0.782092	0.319782	5.04017e-06	0.0043	0.000716578	1.99845e-05	1.33032e-07	1.38287	0.00712702	4	0.0018603	0.000363909	0.000411086	0.00144517	0.000635253	0.000511353	7.24701e-05	5.35279e-05	0.016	0.39	1.7	0.000181159	255.02	10.1802	0.016	13.2271	1.07603e-08	7.46404e-10	2.52474e-07	0.273	14.9799	20	1e-05	1e-05	1e-05	
0.13051	16.6422	0.717217	0.485822	0.178836	6.09337e-06	0.0043	0.000788241	3.02844e-05	2.18885e-07	1.38589	0.00410977	4	0.00288742	0.000414465	0.00033685	0.00170738	0.00107442	0.000289582	0.000120947	0.000107482	0.016	0.39	1.7	7.06289e-05	205.434	10.1523	0.016	8.51281	1.41839e-08	2.98192e-09	7.19717e-07	0.273	64.566	20	1e-05	1e-05	1e-05	
0.193518	16.4555	0.929354	0.508976	0.183634	1.14674e-05	0.0043	0.00095803	4.24757e-05	6.05438e-07	1.38518	0.00481772	4	0.00534601	0.000950644	0.00190267	0.000977848	0.000844268	0.000941159	0.000206227	0.000121643	0.016	0.39	1.7	0.000216087	236.731	9.87713	0.016	8.75485	9.44879e-09	1.51758e-09	7.87189e-07	0.273	33.2685	20	1e-05	1e-05	1e-05	
0.191116	16.6054	0.895151	0.854836	0.333429	1.92553e-05	0.0043	0.00131516	3.35095e-05	5.5894e-07	1.38166	0.00833946	4	0.00653967	0.000981111	0.00160804	0.000553385	0.00159755	0.000543783	9.32756e-05	0.000106498	0.016	0.39	1.7	0.000298393	252.717	9.91373	0.016	14.2818	3.31654e-08	3.16642e-09	1.8373e-06	0.273	17.2833	20	1e-05	1e-05	1e-05	
0.19308	16.7354	0.935581	0.768493	0.303038	9.44832e-06	0.0043	0.000925348	2.87816e-05	1.9651e-07	1.37279	0.0172128	4	0.0030503	0.000438621	0.000989099	0.000791814	0.00125248	0.000291997	8.03152e-05	9.3485e-05	0.016	0.39	1.7	0.000180859	255.707	9.87134	0.016	13.9747	2.80946e-08	2.7602e-09	6.32614e-07	0.273	14.2933	20	1e-05	1e-05	1e-05	
0.218956	19.8933	0.976802	1.12618	0.530039	1.04634e-05	0.0043	0.00105219	3.81946e-05	3.14539e-07	1.38174	0.00825636	4	0.00389209	0.000666232	0.0023213	0.000714073	0.00118209	0.000477289	6.83923e-05	9.79206e-05	0.016	0.39	1.7	0.000271593	255.86	9.80424	0.016	19.829	2.64199e-08	2.23869e-09	8.05354e-07	0.273	14.1403	20	1e-05	1e-05	1e-05	
0.206965	18.2387	0.939477	1.09585	0.404849	1.31321e-05	0.0043	0.00055771	1.62373e-05	3.05033e-07	1.386	0.00400341	4	0.00237475	0.000241554	0.000467679	0.00141454	0.00184081	0.000363982	9.83783e-05	0.00013761	0.016	0.39	1.7	0.000126113	260.433	9.85356	0.016	19.7651	4.09097e-08	2.48606e-09	6.04266e-07	0.273	9.56703	20	1e-05	1e-05	1e-05	
0.165278	19.033	0.841437	0.515834	0.196939	1.0772e-05	0.0043	0.0012486	4.54625e-05	2.37072e-07	1.38217	0.00783063	4	0.00232858	0.000392231	0.000389124	0.000600181	0.00126883	0.000544532	8.99812e-05	6.17276e-05	0.016	0.39	1.7	0.000252455	195.837	9.99328	0.016	9.02374	8.8201e-08	4.70356e-09	9.8701e-07	0.273	74.1631	20	1e-05	1e-05	1e-05	
0.185168	19.299	0.914931	1.10732	0.594901	1.60508e-05	0.0043	0.00109949	3.82004e-05	3.06939e-07	1.38749	0.00250848	4	0.00359226	0.000505772	0.00128305	0.00174866	0.000591753	0.00089622	9.48972e-05	9.54919e-05	0.016	0.39	1.7	0.000209233	224.555	9.8999	0.016	19.5868	9.9823e-09	8.42674e-10	1.37546e-06	0.273	45.4452	20	1e-05	1e-05	1e-05	
1.15665	15.4134	2.02857	5.6477	2.6373	3.26794e-05	0.0043	0.00322671	0.000124195	2.54671e-06	1.38623	0.00376598	4	0.0139559	0.00239727	0.0123138	4.58396e-10	1.11897e-05	0.00127316	0.000488619	0.000183243	0.016	0.39	1.7	0.000720277	265.686	7.81478	0.016	96.6135	2.11111e-07	2.02405e-08	5.98754e-06	0.273	4.31436	20	1e-05	1e-05	1e-05	
0.721905	16.978	1.68861	2.45043	0.869962	3.22597e-05	0.0043	0.00245407	7.04031e-05	2.28635e-06	1.38647	0.00352982	4	0.0148388	0.00223916	0.0059387	6.64417e-09	1.02351e-05	0.00108928	0.000452983	0.000252801	0.016	0.39	1.7	0.00131866	258.449	8.58949	0.016	42.2567	2.74125e-08	2.21848e-09	3.40114e-06	0.273	11.5508	20	1e-05	1e-05	1e-05	
0.0517752	19.7812	0.50208	0.319879	0.130674	4.04718e-06	0.0043	0.000608532	1.89979e-05	1.07521e-07	1.38022	0.00977728	4	0.00113384	0.000167074	0.000202927	0.00024684	0.000598029	0.00012977	5.4305e-05	5.87952e-05	0.016	0.39	1.7	0.000128409	196.726	10.4461	0.016	5.55412	3.78637e-09	4.09308e-10	5.58572e-07	0.273	73.2742	20	1e-05	1e-05	1e-05	
0.703189	16.4204	1.64998	1.56204	0.690816	1.90941e-05	0.0043	0.00176429	6.40901e-05	2.5467e-06	1.38773	0.00227091	4	0.0129135	0.00184686	0.00848186	5.12407e-08	8.76757e-06	0.000951631	0.000524083	0.000396581	0.016	0.39	1.7	0.000412556	254.043	8.64683	0.016	27.1094	4.5727e-08	5.88384e-09	1.81866e-06	0.273	15.9566	20	1e-05	1e-05	1e-05	
0.730111	14.7277	1.65462	4.21281	1.78485	4.14462e-05	0.0043	0.00363596	0.000128903	4.37016e-06	1.38354	0.00645802	4	0.0262024	0.00454039	0.0343046	3.55789e-08	9.88866e-06	0.00141061	0.000368607	0.000277563	0.016	0.39	1.7	0.00118399	264.073	8.61527	0.016	74.8161	1.21561e-07	9.97874e-09	6.67724e-06	0.273	5.92678	20	1e-05	1e-05	1e-05	
1.25846	11.4695	2.02873	3.67715	1.38577	7.07424e-05	0.0043	0.00420237	0.000155778	8.94241e-06	1.38562	0.00438173	4	0.0273236	0.00463904	0.0113629	3.42907e-10	1.0558e-05	0.00209724	0.000569363	0.000640087	0.016	0.39	1.7	0.00167461	267.474	7.71282	0.016	64.5328	1.04047e-07	5.49985e-09	1.31577e-06	0.273	2.52625	20	1e-05	1e-05	1e-05	
0.18959	18.354	0.895595	1.05586	0.442905	7.68093e-06	0.0043	0.00119078	4.43221e-05	4.53182e-07	1.37011	0.0198931	4	0.00245006	0.000470838	0.00141008	0.000171213	0.000965423	0.000638743	0.000134827	5.80073e-05	0.016	0.39	1.7	0.000135369	254.748	9.91481	0.016	18.6633	1.53631e-08	9.55852e-10	3.47184e-07	0.273	15.2522	20	1e-05	1e-05	1e-05	
0.116291	15.1613	0.737718	1.02589	0.383728	1.37382e-05	0.0043	0.000575676	2.67208e-05	2.07822e-07	1.38597	0.00403075	4	0.00399915	0.000676137	0.00110907	0.00236733	0.000446426	0.000403476	0.000141077	0.000100085	0.016	0.39	1.7	0.000151803	247.907	10.146	0.016	18.5437	2.26002e-08	2.22995e-09	4.00692e-07	0.273	22.0932	20	1e-05	1e-05	1e-05	
0.126267	16.2336	0.730447	0.665938	0.27257	1.86633e-05	0.0043	0.000845488	2.89652e-05	2.65902e-07	1.36449	0.0255054	4	0.00407898	0.000630732	0.00126882	0.000154225	0.000721749	0.000255164	7.96289e-05	9.88088e-05	0.016	0.39	1.7	0.000440294	247.247	10.1433	0.016	12.0125	7.5022e-09	5.67217e-10	3.80466e-07	0.273	22.7526	20	1e-05	1e-05	1e-05	
0.124343	18.5713	0.746081	1.03567	0.457382	5.11307e-06	0.0043	0.000592912	2.21914e-05	2.70369e-07	1.3809	0.00910335	4	0.00177497	0.000270895	0.0004771	0.000124889	0.000288605	0.000214226	9.82015e-05	2.93358e-05	0.016	0.39	1.7	5.84347e-05	257.786	10.1296	0.016	18.4704	4.18226e-09	8.55691e-10	3.2117e-07	0.273	12.2139	20	1e-05	1e-05	1e-05	
0.189187	14.219	0.921102	0.948175	0.357274	1.97116e-05	0.0043	0.00170077	7.64283e-05	6.05751e-07	1.3825	0.00749964	4	0.00442097	0.000711466	0.00187664	0.00151009	0.00132321	0.000399045	0.000131711	0.000160158	0.016	0.39	1.7	0.000420102	250.659	9.88971	0.016	16.9172	4.23187e-09	7.22839e-10	3.43827e-07	0.273	19.3408	20	1e-05	1e-05	1e-05	
0.698568	17.539	1.68856	1.24671	0.605779	2.51856e-05	0.0043	0.00155042	5.1715e-05	1.3982e-06	1.38396	0.00604246	4	0.00985512	0.00149063	0.00476699	1.72812e-08	9.61722e-06	0.000800663	0.000185437	0.000205279	0.016	0.39	1.7	0.000402048	243.181	8.61287	0.016	24.0474	7.87262e-08	5.76507e-09	2.26543e-06	0.273	26.8191	20	1e-05	1e-05	1e-05	
1.23101	17.6162	2.02426	3.77956	1.55345	1.55408e-05	0.0043	0.00131043	3.8989e-05	1.77875e-06	1.3781	0.0119035	4	0.00709265	0.0012483	0.00541685	2.99326e-10	9.93297e-06	0.00093931	0.000139609	0.000351313	0.016	0.39	1.7	0.000465246	265.029	7.74473	0.016	65.0515	1.25853e-07	1.22079e-08	4.21703e-06	0.273	4.971	20	1e-05	1e-05	1e-05	
0.0903695	19.699	0.611245	0.4802	0.227641	7.23509e-06	0.0043	0.000720159	2.36179e-05	1.20331e-07	1.38488	0.0051202	4	0.002406	0.000498263	0.000596841	0.000522234	0.000390371	0.000412969	6.38052e-05	0.000112247	0.016	0.39	1.7	0.000202084	204.939	10.2984	0.016	8.63649	5.41917e-09	3.4565e-10	5.4967e-08	0.273	65.0605	20	1e-05	1e-05	1e-05	
0.160735	17.0558	0.890011	0.436989	0.183285	1.02648e-05	0.0043	0.0005681	2.43538e-05	1.57538e-07	1.37878	0.0112197	4	0.00237212	0.000321646	0.000568452	0.000581119	0.00132598	0.000363622	8.5616e-05	3.88527e-05	0.016	0.39	1.7	0.000262501	242.826	9.94925	0.016	8.0666	1.27136e-08	7.26122e-10	6.93503e-07	0.273	27.1738	20	1e-05	1e-05	1e-05	
0.105545	17.7832	0.726157	0.773108	0.313432	8.13926e-06	0.0043	0.000541161	2.11752e-05	1.32492e-07	1.38677	0.00323201	4	0.0020616	0.000272377	0.000573932	0.00105805	0.00042922	0.000367314	4.40408e-05	6.86158e-05	0.016	0.39	1.7	0.000108261	252.898	10.1683	0.016	14.3905	4.32904e-09	4.70638e-10	2.43659e-07	0.273	17.102	20	1e-05	1e-05	1e-05	
0.900979	12.8762	1.85128	2.21102	0.895745	2.20502e-05	0.0043	0.00156926	6.00066e-05	1.40439e-06	1.37898	0.0110238	4	0.0101	0.00177993	0.0101873	2.59219e-09	9.6605e-06	0.000776	0.000395674	0.000104907	0.016	0.39	1.7	0.000624867	264.109	8.24774	0.016	39.5044	6.10977e-08	9.27445e-09	6.71955e-06	0.273	5.89117	20	1e-05	1e-05	1e-05	
0.0897355	18.8288	0.662809	0.689146	0.335239	7.91983e-06	0.0043	0.000632734	2.02053e-05	1.31574e-07	1.3848	0.00520129	4	0.00158545	0.00024414	0.000405216	0.000590179	0.000353329	0.000176192	5.08806e-05	6.55102e-05	0.016	0.39	1.7	5.69711e-05	254.279	10.2475	0.016	11.2283	9.42468e-09	7.3996e-10	1.44973e-07	0.273	15.7209	20	1e-05	1e-05	1e-05	
